
Iteration 1000, Loss 1.707821, Time 163s
Iteration 2000, Loss 0.566896, Time 317s
Iteration 3000, Loss 0.477448, Time 473s
Iteration 4000, Loss 0.445813, Time 628s
Iteration 5000, Loss 0.416407, Time 785s
Iteration 6000, Loss 0.390231, Time 942s
Iteration 7000, Loss 0.371163, Time 1100s
Iteration 8000, Loss 0.359242, Time 1257s
Iteration 9000, Loss 0.349650, Time 1415s
Iteration 10000, Loss 0.343040, Time 1573s
Iteration 11000, Loss 0.335669, Time 1731s
Iteration 12000, Loss 0.327900, Time 1889s
Iteration 13000, Loss 0.320919, Time 2047s
Iteration 14000, Loss 0.315911, Time 2206s
Iteration 15000, Loss 0.311544, Time 2364s
Iteration 16000, Loss 0.309293, Time 2522s
Iteration 17000, Loss 0.304402, Time 2681s
Iteration 18000, Loss 0.301263, Time 2839s
Iteration 19000, Loss 0.297594, Time 2997s
Iteration 20000, Loss 0.293438, Time 3156s
Iteration 21000, Loss 0.290415, Time 3314s
Iteration 22000, Loss 0.287556, Time 3473s
Iteration 23000, Loss 0.284370, Time 3631s
Iteration 24000, Loss 0.281375, Time 3790s
Iteration 25000, Loss 0.279180, Time 3948s
Iteration 26000, Loss 0.276272, Time 4107s
Iteration 27000, Loss 0.275059, Time 4265s
Iteration 28000, Loss 0.271235, Time 4424s
Iteration 29000, Loss 0.269982, Time 4582s
Iteration 30000, Loss 0.268402, Time 4741s
Iteration 31000, Loss 0.266121, Time 4899s
Iteration 32000, Loss 0.263796, Time 5057s
Iteration 33000, Loss 0.264981, Time 5216s
Iteration 34000, Loss 0.264976, Time 5374s
Iteration 35000, Loss 0.259545, Time 5533s
Iteration 36000, Loss 0.259248, Time 5691s
Iteration 37000, Loss 0.255508, Time 5849s
Iteration 38000, Loss 0.254030, Time 6008s
Iteration 39000, Loss 0.251313, Time 6166s
Iteration 40000, Loss 0.249829, Time 6325s
Iteration 41000, Loss 0.248954, Time 6483s
Iteration 42000, Loss 0.247535, Time 6642s
Iteration 43000, Loss 0.244898, Time 6800s
Iteration 44000, Loss 0.242985, Time 6959s
Iteration 45000, Loss 0.241829, Time 7117s
Iteration 46000, Loss 0.239158, Time 7276s
Iteration 47000, Loss 0.238739, Time 7434s
Iteration 48000, Loss 0.236498, Time 7592s
Iteration 49000, Loss 0.234421, Time 7751s
Iteration 50000, Loss 0.232635, Time 7909s
Iteration 51000, Loss 0.231582, Time 8068s
Iteration 52000, Loss 0.229717, Time 8226s
Iteration 53000, Loss 0.229426, Time 8385s
Iteration 54000, Loss 0.228368, Time 8543s
Iteration 55000, Loss 0.226521, Time 8702s
Iteration 56000, Loss 0.224954, Time 8861s
Iteration 57000, Loss 0.224921, Time 9019s
Iteration 58000, Loss 0.223888, Time 9178s
Iteration 59000, Loss 0.222764, Time 9336s
Iteration 60000, Loss 0.220945, Time 9495s
